Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-24248.908	6704.6606	-16459.215	-37635.28	129.14285	0.17809351	0.10490296	0.43819416	-0.13454434	1000	0.013962358	113112650.0	-0.0075834696	-8456912.0	1.0748957	0.002375484	146.6487262248993
1	-24118.12	7494.305	-13095.461	-34676.59	122.85714	-462.052	64.52941	-255.76341	-671.07965	2000	-0.00036412405	105295416.0	-0.0069727795	-63139504.0	1.0661223	0.0077437405	254.86790466308594
2	-46417.0	14220.812	-32196.19	-60637.812	262.0	-4555.921	511.36044	-3294.9553	-5861.4756	3000	-0.00888615	85730160.0	-0.0037271595	-79764230.0	1.0578738	0.0021029268	366.2987766265869
3	-236090.78	0.0	-236090.78	-236090.78	1000.0	-12081.661	1809.8693	-7991.0806	-17017.72	4000	-0.006933486	156859090.0	-0.0009388514	-124644990.0	1.0596687	-0.0001261683	479.31871151924133
4	-167990.28	0.0	-167990.28	-167990.28	806.0	-24690.871	3423.455	-13926.009	-33850.203	5000	0.007302006	54627892.0	-0.0013898448	-38839424.0	1.011333	-0.0024378628	593.2482631206512
5	-254006.56	0.0	-254006.56	-254006.56	1000.0	-17956.629	1965.5521	-13181.323	-24668.686	6000	0.0023819685	114248120.0	-0.003268612	-54905320.0	1.0462571	5.5238455e-05	702.8417863845825
6	-74186.266	2714.0742	-71472.19	-76900.336	403.0	-25594.53	2927.4143	-16847.58	-34201.49	7000	-0.0020052728	116248130.0	-0.00018845848	-109415930.0	1.0199267	0.0019124739	813.3568165302277
7	-87617.8	0.0	-87617.8	-87617.8	479.0	-15168.074	1801.7413	-9803.616	-20951.87	8000	-0.024264475	12994234.0	-0.0008453131	-1706950.0	1.0368044	-0.00024281669	947.7263627052307
8	-240537.94	0.0	-240537.94	-240537.94	966.0	-15885.896	1804.8446	-10989.46	-21144.545	9000	0.004012989	97677800.0	-0.0024159215	-51667890.0	1.047559	-0.0014375289	1060.6312909126282
9	-64788.203	35533.832	-15420.8545	-97603.83	332.66666	-22664.693	2987.969	-12009.333	-30805.377	10000	0.008254758	56338070.0	-0.002877791	-47530264.0	1.0493308	-0.0015750284	1174.093152999878
10	-59632.383	3755.2578	-55877.125	-63387.64	367.5	-16255.678	2542.5632	-9296.24	-23933.195	11000	0.02527469	22196322.0	-0.004726641	-15119614.0	1.0594153	-0.00023124635	1287.8132717609406
11	-238776.27	0.0	-238776.27	-238776.27	1000.0	-12589.166	2018.1248	-5384.4424	-17740.756	12000	0.010130205	182232740.0	-0.0016699489	-127010020.0	1.0246499	0.0026805557	1410.4725584983826
