Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-18697.367	10806.365	-6547.247	-41274.28	110.44444	0.6558943	0.2493173	1.4298855	-0.26197496	1000	-3.361702e-08	104871144.0	-0.011893579	-11576520.0	1.0446721	0.015317795	0.128	24.0	112.09407114982605
1	-16775.941	8956.709	-3320.5388	-34202.68	97.4	-624.77386	152.02383	-208.02187	-1106.8182	2000	6.9141386e-08	85011100.0	-0.018776553	-58844292.0	1.053936	0.015537029	0.163	59.0	229.77119278907776
2	-12127.841	3882.8213	-5119.0903	-17655.795	89.09091	-5739.677	1726.8429	-1155.4048	-9953.476	3000	6.0796737e-09	17755560.0	-0.011889509	-2370859.0	1.0304312	0.016875954	0.225	14.0	351.06744384765625
3	-11765.901	3746.1238	-4905.285	-16807.346	64.53333	-6931.171	1698.8708	-1970.0603	-12406.304	4000	4.7683715e-09	15786322.0	-0.022690544	-2495813.0	0.99082476	0.015332569	0.17	64.0	462.5060021877289
4	-18320.826	10313.228	-10354.778	-43462.9	114.5	-7086.9707	2334.8867	-796.2755	-11599.57	5000	1.5974045e-08	22433634.0	-0.027339438	-3868266.0	0.96728176	0.008983568	0.155	79.0	586.0055947303772
5	-15343.864	11945.641	-2132.5957	-36229.26	111.375	-8018.067	2438.7168	-1999.1727	-14882.782	6000	-2.9563903e-08	20303906.0	-0.018910067	-2551716.0	0.94041175	0.015333731	0.141	30.0	710.1673085689545
6	-12757.528	5687.373	-3570.5396	-25000.824	84.5	-8221.766	2624.8467	-2883.8784	-15771.922	7000	-5.9604646e-09	13541016.0	-0.00910527	-1604689.0	0.89941406	0.020963306	0.365	6.0	831.4522929191589
7	-10436.092	3654.2673	351.5839	-13151.483	49.0	-7993.5664	2295.1301	-3310.6904	-15202.45	8000	2.7894973e-08	16652108.0	-0.018768154	-3375731.0	0.8278125	0.00447495	0.165	79.0	939.981451511383
8	-9234.672	4616.786	790.77325	-14364.7705	54.944443	-6792.5215	1853.9453	-2965.2478	-13404.6045	9000	7.629395e-09	17613912.0	-0.007213291	-1403701.0	0.8757085	0.013883091	0.133	7.0	1062.404876947403
9	-11518.757	8807.731	-800.4454	-38963.89	76.46154	-6332.708	1790.8735	-2569.4468	-12848.866	10000	3.4928323e-08	18682554.0	-0.008556248	-2227721.0	0.8888977	0.018548245	0.214	10.0	1174.49991440773
10	-11128.496	5999.514	-4281.737	-25038.545	93.4	-7643.085	2534.8652	-3231.411	-13908.235	11000	1.4305114e-08	14488116.0	-0.027678791	-2052760.0	0.9333899	0.01536589	0.23	36.0	1290.681918144226
11	-8632.3545	7750.6616	-1458.7334	-29492.225	89.36364	-6637.304	2291.905	-2777.865	-12009.201	12000	5.9604645e-08	15995967.0	-0.011468194	-1152526.0	0.9161079	0.015706029	0.124	12.0	1407.5060946941376
12	-9481.826	5705.7354	-2938.494	-20336.55	93.9	-6029.348	2412.8257	-2566.0376	-11853.974	13000	6.198883e-09	12772238.0	-0.006928413	-2261613.0	0.92102414	0.026831757	0.319	5.0	1529.232881784439
13	-2939.485	13341.647	35175.836	-16451.307	93.7	-5578.586	2640.9023	-2268.0847	-13689.837	14000	-7.510185e-09	114707140.0	-0.01876213	-30770936.0	0.887868	0.015301045	0.153	70.0	1647.1704862117767
14	-7066.2217	5871.76	-884.55426	-19709.572	74.30769	-1955.9904	2341.9421	-168.13396	-8895.469	15000	2.002716e-08	21226090.0	-0.01421826	-9191524.0	0.9007694	0.018583113	0.126	13.0	1764.4678099155426
15	-7343.602	5257.5063	-2281.8113	-18080.64	89.545456	-4480.4766	2759.7727	-1395.2883	-12242.934	16000	1.0490417e-08	12149439.0	-0.0042758384	-2755957.0	0.85332876	0.019134827	0.204	5.0	1882.243343114853
16	-4188.859	1750.6907	-1990.6737	-6934.576	78.416664	-4401.3936	3269.4678	-1225.6063	-11685.093	17000	-7.629395e-09	5449456.5	-0.02199945	-1928179.5	0.8500768	0.003475779	0.171	79.0	2025.997836112976
17	2580.8472	16738.797	37758.207	-13122.784	98.2	-3720.3313	3309.2522	-484.1523	-11991.847	18000	2.4199485e-08	180462690.0	-0.004653175	-34640770.0	0.8243746	0.029332649	0.374	5.0	2151.342646598816
18	2155.7354	21851.123	42114.863	-18330.828	119.25	-618.6303	1275.876	28.089462	-5618.032	19000	-4.7445297e-08	177086030.0	-0.009054904	-3239392.0	0.8429529	0.015577178	0.121	12.0	2272.318215608597
19	16073.1455	22165.086	35968.86	-17209.691	171.6	-602.73724	1812.8956	655.2947	-7015.971	20000	2.3722649e-08	216630400.0	-0.006555047	-30267472.0	0.80028945	0.020160597	0.127	7.0	2392.1698620319366
20	15291.115	26109.379	38481.88	-22535.47	170.0	3852.9336	1427.8374	6732.726	-298.1772	21000	-4.768372e-10	197026580.0	-0.008049806	-29884016.0	0.8374042	0.014561151	0.121	7.0	2508.959536790848
21	1822.7701	24535.54	37943.26	-18771.143	147.83333	4624.122	4389.343	17437.666	-6628.9033	22000	3.4570693e-08	160863870.0	-0.021533197	-14901488.0	0.82189286	0.008209855	0.111	79.0	2628.5459191799164
22	22763.752	18780.24	39266.19	-5825.0522	140.0	3115.0525	4201.2046	8326.196	-9980.267	23000	1.835823e-08	183793040.0	-0.023052122	-51735216.0	0.76071703	0.014842741	0.103	79.0	2738.706526994705
23	20010.592	22136.611	38444.582	-14566.881	162.5	10424.814	4334.432	19520.701	-4308.195	24000	1.4305115e-09	212355780.0	-0.012513628	-57748064.0	0.7765038	0.016676394	0.178	11.0	2844.901971101761
