Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-11739.367	1274.8241	-8514.385	-13837.899	59.5625	-0.022304572	0.122922346	0.26737082	-0.2942299	1000	1.3446808e-07	64020470.0	-0.006516977	-52550190.0	1.0747215	0.013315796	0.152	2.0	118.6660737991333
1	-11549.85	2007.3148	-8228.106	-15906.046	66.46667	-6881.7354	2065.6296	-2073.3687	-11289.712	2000	-3.8146974e-09	10054929.0	-0.0059717577	-6168237.0	1.0780339	0.024110787	0.34	3.0	226.50479578971863
2	-13346.657	3093.7544	-9142.516	-21336.916	70.36364	-7327.265	1284.9899	-1930.7014	-10387.172	3000	-1.9073487e-09	6186135.0	-0.0035725422	-2428165.0	1.0899363	0.017646436	0.366	4.0	352.67465257644653
3	-12720.693	1697.9323	-10744.36	-17596.256	64.666664	-7853.615	1116.2507	-3685.1724	-10094.441	4000	8.106232e-09	1459894.0	-0.013933644	-174612.0	1.0670735	0.020049842	0.238	5.0	462.6581943035126
4	-12586.034	2234.4055	-8106.1177	-15247.573	111.125	-8030.216	1618.5889	-1960.4464	-12606.176	5000	7.367134e-08	14530443.0	-0.011127537	-4276499.0	1.0228035	0.020473823	0.312	8.0	568.3915579319
5	-2897.9038	18539.508	44972.13	-16888.717	121.625	-5474.01	2004.2471	-1752.8695	-12081.58	6000	-1.8119811e-08	134662200.0	-0.02344402	-24021432.0	0.9836587	0.015377306	0.15	55.0	690.5312576293945
6	-12743.35	5713.4595	-5516.624	-21370.965	122.71429	-1122.0277	878.5121	-227.00558	-4287.1074	7000	3.242493e-08	35103956.0	-0.011936373	-19318134.0	1.0260969	0.016900657	0.209	12.0	819.9607677459717
7	-3078.857	21708.924	47942.977	-22023.047	140.28572	-5106.083	2014.2712	-1916.6282	-12775.539	8000	-6.389618e-08	155044400.0	-0.009239121	-25720800.0	0.98039806	0.019679314	0.245	6.0	937.0548527240753
8	13036.519	28025.867	52980.68	-11394.636	161.0	-1204.2373	1359.3754	48.567657	-8025.342	9000	-2.7418137e-08	237734340.0	-0.02629457	-65419010.0	0.9030005	0.009619587	0.153	79.0	1048.9450991153717
9	3345.124	19747.834	54395.715	-8401.1875	123.875	6579.142	2469.3718	13401.092	-2894.9187	10000	1.6093255e-08	143933460.0	-0.008760068	-27729392.0	0.89288974	0.017320935	0.153	6.0	1155.4205441474915
