Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-11463.731	1822.8694	-7869.976	-14773.091	53.555557	0.1395183	0.092089854	0.36175483	-0.22427586	1000	1.4305114e-08	66779380.0	-0.01461309	-7197040.0	0.004200755	0.0	123.38066244125366
1	-11588.477	2231.2573	-6155.1157	-15891.486	58.47059	-464.95645	115.45263	-185.93953	-718.3114	2000	-1.3351441e-08	61349324.0	-0.015424524	-42019390.0	0.0046154475	0.0	243.48797512054443
2	-12037.197	3044.2869	-7570.8823	-21913.121	66.26667	-4427.0547	920.9556	-2012.4982	-6491.3506	3000	5.4359436e-08	18108834.0	-0.013849394	-13327204.0	0.0039814143	0.0	355.97954177856445
3	-13738.727	3676.4827	-9840.434	-22396.62	108.55556	-7174.34	1976.3668	-639.9392	-11337.9	4000	-1.1444092e-08	8810983.0	-0.011917356	-1500762.5	0.0032035885	0.0	468.0721561908722
4	-18440.21	6396.348	-12973.461	-31841.953	161.0	-6918.0127	1653.2484	-1024.325	-11487.825	5000	-1.1444092e-08	6791640.0	-0.010954621	-771133.0	0.0022318757	0.0	576.5879487991333
5	-12185.433	6874.323	-3151.781	-30947.912	98.9	-6265.6235	1496.638	-1439.0095	-12115.778	6000	-2.1457671e-09	11331174.0	-0.014501337	-1637482.0	0.0044499603	0.0	681.4365086555481
6	-14082.544	3275.8064	-11270.516	-20468.527	178.2	-6457.122	1513.7676	-1676.241	-10936.684	7000	2.336502e-08	21790432.0	-0.016109403	-5961004.0	0.0038965088	0.0	788.0862982273102
7	-11166.098	3956.9812	-5557.989	-20201.637	117.25	-4643.6006	1299.2676	-1090.8833	-8568.396	8000	-2.7656554e-08	10663884.0	-0.016492836	-708616.0	0.004199977	0.0	895.54913854599
8	-10340.098	2793.2764	-4675.634	-15717.634	83.5	-5370.015	1597.2607	-1580.5966	-10080.758	9000	2.5272369e-08	11883670.0	-0.016457224	-292318.0	0.0040271017	0.0	1006.8232700824738
9	3933.6235	21098.826	45608.13	-12711.7705	179.8	-5118.59	1584.5925	-1634.9694	-11030.285	10000	3.385544e-08	146006240.0	-0.012907471	-37169336.0	0.003837198	0.0	1114.5351338386536
10	-9899.416	2035.8916	-5742.1187	-11865.951	116.875	-768.50214	454.191	-172.40604	-3454.06	11000	-2.6226044e-08	31548018.0	-0.013186258	-11317436.0	0.0038980374	0.0	1232.028330564499
11	-17313.133	7867.0205	-11776.254	-30823.004	197.25	-3184.3345	1112.6869	-824.7927	-5455.3447	12000	1.3113022e-08	23338622.0	-0.021567032	-1844614.0	0.0061275545	0.0	1344.6165335178375
12	4343.8438	25093.703	47786.133	-11248.989	234.5	-3508.029	1158.2122	-1224.6217	-7986.7085	13000	-7.1525574e-10	129263270.0	-0.018667266	-13473008.0	0.005523698	0.0	1450.5348987579346
13	2325.4634	27541.322	48366.938	-23488.264	246.5	-1318.9268	856.91455	-293.38196	-4426.37	14000	2.4318695e-08	132164980.0	-0.012985053	-2098624.0	0.003942522	0.0	1551.4691381454468
14	-3446.8032	18440.715	51198.47	-15504.225	95.8	-834.8669	694.8409	-92.61556	-4665.261	15000	-4.4107438e-08	142840880.0	-0.012880506	-651808.0	0.0040967646	0.0	1658.003282546997
15	-14063.975	9599.401	-7070.1865	-32877.746	170.8	-1834.1116	1803.5637	-41.27558	-7621.6187	16000	5.4836273e-09	25282982.0	-0.01933975	-10493920.0	0.0042001847	0.0	1764.0515983104706
16	24603.95	29356.445	48733.117	-14458.203	187.8	-3088.567	1497.9866	-778.8459	-10693.97	17000	-1.2397766e-08	373694100.0	-0.011514741	-75540100.0	0.003097107	0.0	1876.2839498519897
17	28409.656	31226.885	55084.02	-10583.291	165.0	-189.0365	450.8031	48.92301	-2632.4292	18000	-8.642673e-09	371176130.0	-0.024925394	-48043650.0	0.006751805	0.0	1987.701378107071
