Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-11480.617	1248.278	-9552.162	-14964.379	48.2	-0.036655333	0.13016011	0.26171616	-0.29423046	1000	-0.01685194	70384910.0	-0.005955724	-6471636.0	1.0692848	0.0030450632	114.05350041389465
1	-12268.919	1777.5588	-9871.929	-16591.43	57.764706	-407.96362	104.942085	-143.66025	-718.2651	2000	-0.018670721	61869748.0	-0.0059153456	-39690870.0	1.061678	0.0041008033	220.02023124694824
2	-12483.344	1830.6954	-10025.678	-17047.248	51.68421	-3844.7024	749.41254	-2202.5906	-5738.55	3000	-0.008265665	29206614.0	-0.000895313	-24756112.0	1.04691	0.0021662666	345.58663749694824
3	-12928.385	1919.42	-10033.834	-18323.16	55.5	-8852.142	1212.4233	-6265.0215	-12694.674	4000	0.011119804	2959697.2	-0.0022158967	-935522.9	1.034409	3.9043665e-05	451.4641954898834
4	-15659.351	4174.312	-10708.876	-23942.71	87.72727	-8540.448	1367.7952	-4362.803	-13360.261	5000	-0.017423283	2381369.8	-0.00093033165	-433607.75	1.0017449	0.0008019092	551.7320718765259
5	-13444.279	4469.841	-10906.952	-28645.146	66.71429	-8154.361	1247.0099	-4591.5864	-12282.938	6000	-0.0073546413	2536450.0	-0.0015309118	-730087.9	1.0261163	0.00056065153	657.2251708507538
6	-11948.007	3102.3381	-4142.7007	-17030.191	70.92308	-8849.632	1518.093	-4126.279	-14529.033	7000	0.01613127	10747339.0	-0.0063547892	-2427224.0	1.0121999	0.0007669009	762.0964131355286
7	-13860.363	3049.7407	-10314.366	-20875.178	77.583336	-7841.3843	1206.6216	-5159.598	-12734.969	8000	0.0029053155	2925614.0	-0.006618549	-730611.75	1.0217102	0.0043023825	873.2172009944916
8	-10839.053	3528.8682	-529.2578	-16893.207	68.71429	-7219.4517	1959.7112	-849.2622	-12223.839	9000	-0.010533366	9988008.0	-0.0074707996	-1634694.0	1.0305588	0.0006610731	977.6286673545837
9	-10139.428	2948.592	-1350.1627	-16851.66	58.4375	-6366.9233	1401.5647	-1567.295	-10729.833	10000	-0.018239979	9831085.0	-0.0071876496	-802286.0	1.0233365	-0.0011024786	1092.964749097824
