Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-14724.344	2095.6912	-10889.927	-19057.514	83.208336	0.1558021	0.12124259	0.4288936	-0.30943823	2000	0.011073469	74151750.0	-0.006484973	-7680428.0	1.0739844	0.0037824607	229.83101439476013
1	-15138.021	2192.932	-11275.8	-19509.076	77.2	-470.1768	64.20719	-184.47285	-691.55524	4000	0.0067620794	69916930.0	-0.0057020104	-50159330.0	1.0731592	0.0047794506	491.03508257865906
2	-17463.023	4337.32	-11716.684	-27538.818	100.8421	-4454.504	912.9683	-1080.6317	-7057.1494	6000	-0.014855305	20389068.0	-0.0019346066	-17241868.0	1.0479589	-0.001571423	750.2499220371246
3	-18676.023	4856.566	-9850.24	-26569.168	111.588234	-8485.057	1398.087	-2860.5444	-12562.652	8000	-0.018733112	2559267.0	-0.0004527066	-587985.4	1.0473368	0.00021743252	975.0308282375336
4	-18275.457	4920.1206	-9720.816	-33127.668	115.76471	-8660.006	1220.0967	-3814.4329	-12389.773	10000	-0.008604557	3416100.8	-0.0012274273	-253655.5	1.0590602	0.00022891961	1213.3297159671783
5	-15857.683	3732.1924	-10143.8955	-24450.617	85.47619	-8202.836	1319.361	-3125.3374	-11946.381	12000	-0.012176068	2706653.0	-0.0019920152	-245244.75	1.0578636	0.00017905878	1474.9837291240692
6	-20934.715	3452.183	-15255.521	-26819.273	142.07143	-8592.988	1216.9304	-4586.406	-12027.179	14000	-0.009249506	2483562.2	-0.0012317682	-170420.75	1.0494341	0.00144703	1714.2490413188934
7	-17881.842	5752.5923	-8762.668	-32486.68	115.117645	-8241.832	1121.9441	-3602.2153	-11300.348	16000	0.0006244435	2126330.8	-0.0022336326	-227474.0	1.0622258	0.00070038746	1954.5483787059784
8	-17415.234	3662.4026	-12667.324	-24650.53	113.882355	-8583.333	1289.0676	-4545.115	-12434.786	18000	-0.0069408417	3022392.0	-0.002056311	-321114.75	1.0601628	0.00075478846	2187.7035460472107
9	-15665.506	2057.8696	-11407.234	-19019.379	90.57143	-8371.705	1157.8525	-4467.4253	-12066.679	20000	-0.002732874	2604522.0	-0.0026475578	-113580.25	1.05156	0.00065682293	2423.0217366218567
10	-15104.3125	2373.1074	-10689.295	-19231.316	82.565216	-8391.486	1339.6711	-2931.7434	-12100.465	22000	-0.023041172	2099628.0	-0.001713723	-138507.25	1.0530533	0.0011190589	2677.380517244339
11	-16102.469	3174.6338	-11422.744	-23053.05	106.833336	-8467.968	1339.4457	-4895.521	-12570.25	24000	-0.008001452	2655325.2	-0.0029133968	-287163.5	1.060792	0.0016128496	2967.205461025238
12	-14980.491	3828.8838	-9218.513	-24959.19	112.0	-7813.516	1432.7928	-3328.2695	-12093.703	26000	-0.009853152	4648502.5	-0.0048457747	-563706.5	1.0705135	0.00062738167	3297.1077873706818
13	-15935.661	3954.881	-11363.144	-25412.857	125.4	-7286.8643	1211.8676	-3042.7231	-11284.492	28000	-0.03679252	2550015.2	-0.0035831593	-628124.0	1.0533628	0.0023989787	3604.659512281418
