Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-13047.355	2722.0422	-9949.195	-22061.176	32.896553	-0.025527727	0.10765015	0.27899706	-0.39376825	1000	2.9563903e-08	145561840.0	-0.028518695	-109029660.0	1.0799204	0.03589327	0.277	79.0	147.58367037773132
1	-11410.1455	1433.8833	-9648.245	-16383.009	21.695652	-7426.161	1505.5381	-4064.706	-12579.39	2000	-3.33786e-08	15974824.0	-0.041969534	-11861117.0	1.0319412	0.024032952	0.212	79.0	287.3790566921234
2	-10859.782	887.53674	-8900.235	-13250.224	20.645834	-10236.996	1585.7435	-6276.436	-15507.991	3000	-2.002716e-08	2800411.5	-0.0365647	-526756.0	0.98380566	0.040583447	0.201	79.0	422.83094573020935
3	-10827.965	1098.8906	-9412.506	-14700.587	32.933334	-9442.995	1501.0712	-6704.9272	-14795.322	4000	-2.4080277e-08	3201508.2	-0.047160756	-937911.75	0.935921	0.037310112	0.365	79.0	551.5512254238129
4	-9718.21	849.1835	-7998.5156	-11619.002	27.971428	-9860.122	1188.5336	-7530.522	-12077.306	5000	1.3351441e-08	2502446.8	-0.019325495	-941842.6	0.8416506	0.022872457	0.096	79.0	679.0456357002258
5	-9030.483	860.57935	-7756.492	-11512.434	27.714285	-9473.777	849.9259	-7539.47	-13195.176	6000	1.7166137e-08	1540404.2	-0.041273717	-430481.38	0.6738201	0.05740657	0.192	79.0	807.8883383274078
6	-8640.581	841.4483	-7210.113	-10838.638	28.941177	-9022.398	676.19916	-7296.6685	-11567.584	7000	-7.152557e-09	1209140.2	-0.03428639	-162642.62	0.599918	0.04950927	0.136	79.0	936.3304369449615
7	-8139.9346	707.02234	-7099.7373	-10081.772	29.969696	-9196.108	694.79626	-7847.2383	-11197.363	8000	3.8146974e-09	777532.06	-0.015777882	-104663.875	0.49358594	0.029213598	0.123	79.0	1065.3571491241455
8	-8366.764	921.4581	-7138.375	-11925.849	34.57143	-8971.736	863.1467	-7275.0596	-13143.969	9000	-1.3351441e-08	802678.94	-0.030704804	-45348.188	0.46759993	0.04132914	0.138	79.0	1209.084877729416
9	-8418.198	1119.045	-6690.377	-9841.612	20.5625	-9014.722	622.97174	-7471.157	-11223.762	10000	-1.4305114e-08	826183.94	-0.026588138	-130113.125	0.2978141	0.03905	0.074	79.0	1343.972406387329
10	-8006.162	827.38995	-6683.6064	-9655.752	34.310345	-8743.612	970.9995	-7107.871	-14453.748	11000	2.6226044e-09	972676.5	-0.026262872	-136444.19	0.3900144	0.010559145	0.092	79.0	1481.3495733737946
11	-7634.527	865.4158	-5564.346	-9649.589	30.71875	-8507.109	548.011	-7218.9053	-11192.982	12000	-7.629395e-09	873174.94	-0.022337336	-174242.81	0.30628818	0.054559525	0.108	79.0	1619.8607788085938
12	-7539.2427	1071.1562	-6614.712	-12090.388	33.344826	-8601.467	885.11554	-6498.868	-11364.704	13000	-1.1920929e-09	1346957.2	-0.028663706	-61668.75	0.27901676	0.07904184	0.165	49.0	1760.4637515544891
