Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-12215.926	2978.3794	-9863.201	-24848.434	35.2	-0.007392457	0.118132964	0.32052976	-0.3817929	2000	3.3974647e-08	82425920.0	-0.03965718	-77628376.0	1.081184	0.024229053	0.27	79.0	237.57433557510376
1	-15955.46	5720.6553	-9862.297	-33789.15	78.72	-8502.062	2070.708	-3230.9575	-14451.285	4000	9.536743e-09	5106301.0	-0.03828963	-3196403.5	1.0345706	0.04134412	0.3175	79.0	468.1687738895416
2	-13148.963	4186.776	-9120.641	-24634.453	54.52941	-8766.734	1391.6699	-6263.097	-13753.766	6000	-3.218651e-09	3187900.2	-0.030203326	-1056563.5	1.0200659	0.054417357	0.305	79.0	668.931592464447
3	-10745.498	2395.7185	-8924.262	-21186.066	30.967213	-8539.624	1056.4342	-5781.581	-13170.752	8000	-2.861023e-09	2131028.0	-0.036708537	-810170.9	0.9253584	0.048386298	0.2595	79.0	880.9203984737396
4	-11502.708	3039.6995	-9035.607	-22193.291	53.2973	-8681.413	1436.8993	-5700.909	-13372.102	10000	-1.5497207e-08	2843122.5	-0.046447814	-1084669.9	0.8408476	0.050557245	0.235	79.0	1086.458774805069
5	-11776.349	2329.6187	-8924.728	-17872.574	56.62857	-7661.611	461.27484	-6264.3013	-9088.265	12000	3.7670137e-08	1859173.8	-0.026781581	-851321.94	0.786799	0.026673209	0.16	79.0	1284.6072998046875
6	-12378.826	2775.1492	-8889.978	-19570.436	73.38461	-8735.015	1157.831	-7174.019	-12520.536	14000	-6.341934e-08	2008817.6	-0.035683915	-687940.5	0.7216473	0.04324545	0.1485	79.0	1493.377714395523
7	-11387.907	2044.8141	-8340.707	-15891.862	69.0	-8125.044	830.1008	-6604.645	-11295.852	16000	1.9073487e-09	1536986.6	-0.035626262	-243823.62	0.75730747	0.02757946	0.174	79.0	1710.3187334537506
8	-10515.296	1164.9231	-8633.671	-13327.452	66.1	-7723.366	959.5639	-6183.6875	-10230.197	18000	4.7683715e-09	2110523.0	-0.021977203	-294401.38	0.6619159	0.036686126	0.1105	79.0	1942.357754945755
9	-12954.174	4110.3184	-8242.286	-19367.773	129.8	-7915.6533	1097.7203	-5807.0674	-10016.565	20000	-4.9233435e-08	6351658.0	-0.04966956	-2831777.0	0.5765338	0.062291794	0.167	79.0	2137.396265029907
10	-12274.138	2883.15	-9114.796	-21217.818	111.0	-6316.94	1023.53046	-4426.979	-9260.017	22000	1.3351441e-08	4025662.8	-0.035328582	-227968.25	0.6635756	0.028403286	0.138	79.0	2365.2436139583588
11	-14333.212	4471.175	-8338.938	-22107.52	152.3077	-6699.847	1000.47986	-4656.379	-8823.426	24000	-4.768372e-10	3996293.8	-0.028568663	-109047.0	0.60735977	0.022440627	0.124	79.0	2588.3080410957336
12	-12442.449	3320.1824	-8997.644	-20910.143	117.05882	-6363.344	1198.1288	-3997.5483	-9192.938	26000	-3.7014484e-08	3799512.0	-0.030449394	-228486.25	0.5961431	0.028677937	0.0865	79.0	2790.5475568771362
13	-14215.149	5353.021	-9293.28	-29965.883	132.53334	-6811.509	956.9595	-4930.86	-9065.777	28000	-1.5318394e-08	3935953.5	-0.030844718	-125549.75	0.6190985	0.026010115	0.0985	79.0	2995.417598962784
14	-12497.049	3298.0562	-8815.047	-21006.701	112.0	-6990.4546	1176.104	-4613.2173	-9582.422	30000	-1.6689301e-09	4249653.0	-0.022133742	-238573.75	0.5420448	0.013562565	0.091	79.0	3211.7881293296814
