Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-15596.707	6611.721	-4385.9707	-23611.285	142.33333	0.5238744	0.23703285	0.97133225	-0.20559561	1000	4.386902e-08	52523720.0	-0.021659387	-487184.0	1.0537436	0.015403235	0.146	61.0	116.50589036941528
1	-12320.123	8174.273	-417.0603	-26359.463	120.5	-37.9605	9.649001	-8.705763	-65.91477	2000	1.2755394e-08	53474176.0	-0.007364596	-3588784.0	1.0419462	0.019596908	0.146	7.0	226.58270001411438
2	-11728.635	5284.312	1434.5249	-16388.473	122.25	-269.93323	79.17634	-59.65096	-572.53564	3000	1.0251999e-08	44225424.0	-0.018058918	-6136588.0	1.0686728	0.012433703	0.235	79.0	337.00885796546936
3	-10287.119	6375.752	-1810.6676	-18702.684	118.125	-1145.9098	270.50394	-345.3133	-1731.6431	4000	-2.3841858e-08	46807520.0	-0.008142731	-12240768.0	1.0646424	0.016213244	0.184	25.0	452.84073519706726
4	-9621.883	6638.0376	-931.1618	-20703.025	112.0	-2460.5103	754.6076	-538.03033	-4666.122	5000	2.3841858e-08	29844582.0	-0.005159481	-6366810.0	1.0618955	0.025985992	0.249	5.0	563.1586663722992
5	-4700.7686	5908.3525	2200.1729	-14908.695	84.90909	-3785.924	1363.6509	-519.59595	-7361.587	6000	-9.179115e-09	26238098.0	-0.006184277	-872688.0	1.0152193	0.021954516	0.222	5.0	672.4260115623474
6	-6891.4844	4740.0	2061.9797	-11316.262	78.0	-3614.8555	1227.4951	-717.01306	-6887.3315	7000	1.8119811e-08	21573742.0	-0.022559106	-686750.0	0.95952785	0.010973663	0.167	79.0	783.3911294937134
7	-4942.441	5896.653	1729.0001	-12757.255	78.166664	-4244.445	1433.8053	-885.2381	-8752.376	8000	1.1920929e-09	28313818.0	-0.021204654	-1585252.0	0.96940047	0.011741256	0.104	79.0	909.8409049510956
8	-4031.8174	5201.6475	2638.1992	-11230.822	90.181816	-3703.5054	1680.3306	-601.2071	-8546.166	9000	8.106232e-09	21116892.0	-0.005163685	-530110.0	0.96922976	0.016949933	0.168	6.0	1018.7862448692322
9	-8263.613	3815.7917	1348.1388	-13016.326	99.9	-3740.4746	1560.3771	-755.9189	-8668.951	10000	-1.9073487e-09	17583768.0	-0.0057079257	-1595007.0	0.9394646	0.020107208	0.165	6.0	1129.7662160396576
10	-1848.3073	15816.058	35997.17	-11102.248	136.57143	-5719.47	1600.7233	-1762.6578	-9480.8955	11000	-3.004074e-08	136429180.0	-0.009516115	-29804008.0	0.98567903	0.018405197	0.126	7.0	1282.254160642624
11	4079.5789	19666.379	31889.727	-10135.92	233.66667	-2694.178	752.2303	-771.17944	-5306.8833	12000	1.5974045e-08	103572950.0	-0.0034893402	-2199888.0	0.95866287	0.017140947	0.108	8.0	1395.6891355514526
