Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-203.66716	113.94768	-13.882758	-451.08328	85.978264	-0.08833311	0.031833153	0.0758252	-0.2140905	4000	-3.218651e-08	35292.84	-0.007825836	-1314.9922	1.3504449	0.007942938	0.0675	79.0	31.236519813537598
1	-204.10323	107.42652	-39.5693	-425.47577	90.704544	-4.3003507	0.24183567	-1.9329362	-4.6472497	8000	2.7358531e-08	29945.006	-0.017557226	-1157.125	1.3561326	0.013213167	0.1645	79.0	67.92770886421204
2	-130.35556	56.701126	-49.274296	-391.65356	86.63043	-8.189748	0.9744127	6.434967	-8.418022	12000	2.400279e-07	12381.096	-0.00930338	-483.93164	1.3385365	0.007409636	0.10725	79.0	125.17578291893005
3	-149.6979	77.83376	-39.536728	-361.83377	84.61702	-10.654321	0.40645185	-3.7424307	-10.7651	16000	-4.529953e-09	16385.545	-0.012518002	-572.3242	1.3279732	0.012123806	0.09875	79.0	177.8550407886505
4	-148.9696	79.47165	19.53676	-341.2723	95.51219	-13.268789	0.27292988	-7.8501654	-13.347798	20000	1.4597177e-07	15974.003	-0.009626836	-530.9375	1.3451183	0.013333448	0.1375	79.0	230.06288504600525
5	-145.55164	55.025703	-50.06693	-291.85794	90.681816	-15.860293	0.037269536	-15.163911	-15.882586	24000	-6.2048436e-08	12659.672	-0.008331629	-479.31934	1.3146394	0.00904935	0.1455	79.0	276.0109107494354
6	-111.0276	53.888077	-32.74479	-339.17996	86.82222	-18.320004	0.01841686	-17.7951	-18.337908	28000	3.0636787e-08	7793.859	-0.016054926	-274.92627	1.3149037	0.009091084	0.08725	79.0	333.88006830215454
7	-98.85237	57.123344	-0.82293224	-284.34995	97.46342	-20.24064	0.046829525	-18.989046	-20.260647	32000	-1.3530254e-08	6197.94	-0.008597842	-166.0747	1.314426	0.0066672945	0.07775	79.0	383.2522575855255
8	-126.45996	78.28252	12.390716	-376.6879	97.3	-21.767586	0.1581199	-18.998991	-21.793587	36000	1.7404556e-08	11942.229	-0.010262604	-358.9248	1.3038218	0.009450062	0.05625	79.0	437.16371726989746
9	-98.80953	51.328274	12.38697	-240.16284	98.45	-23.995068	0.033782504	-22.63553	-24.00876	40000	-1.4066696e-08	5741.906	-0.009310785	-211.14795	1.2918187	0.009012031	0.051	79.0	469.36043405532837
10	-103.31845	92.399155	36.90077	-468.4303	113.0	-25.783134	0.07541162	-24.633966	-25.80508	44000	1.01923945e-08	10186.876	-0.010538787	-228.00195	1.2812328	0.011145113	0.07275	79.0	507.2821295261383
11	-77.80437	48.076595	-5.0195575	-211.55833	99.35	-27.65447	0.017017988	-27.081161	-27.665257	48000	9.179115e-09	3590.756	-0.009962183	-122.11279	1.2571872	0.01062491	0.1135	79.0	565.3952465057373
12	-64.70529	43.917084	17.902569	-171.66364	119.121216	-29.075129	0.05761771	-27.951769	-29.092487	52000	-1.7642975e-08	3330.6653	-0.00783177	-91.93994	1.238835	0.0047941073	0.04475	79.0	616.2800905704498
13	-53.332504	27.392548	-1.4589353	-129.38657	116.47059	-30.329575	0.008946175	-30.200388	-30.338167	56000	2.9206277e-08	1202.1251	-0.007422611	-28.704346	1.2389319	0.009538564	0.11475	79.0	665.5778019428253
14	-70.319984	64.74153	50.42465	-231.74127	130.3	-31.072624	0.014779581	-30.839369	-31.083591	60000	1.513958e-08	5016.213	-0.009837915	-94.94336	1.2069081	0.015213985	0.221	17.0	716.5075392723083
15	-57.843853	82.54609	20.920038	-274.098	208.78947	-32.319084	0.12504573	-31.681093	-32.376343	64000	-5.3644182e-09	13624.834	-0.008328381	-316.02344	1.176803	0.009782736	0.12375	79.0	783.4870004653931
16	-74.75563	98.87607	226.33179	-223.37823	216.27777	-34.69947	0.104682595	-33.58273	-34.721195	68000	-1.45435335e-08	8898.336	-0.008935167	-174.49023	1.1537945	0.012718824	0.1285	79.0	836.1684658527374
17	-86.10549	74.10819	101.64731	-192.06853	258.06668	-35.19833	4.4252963	25.01659	-36.041782	72000	1.0848045e-08	5353.027	-0.008112142	-288.98486	1.1186146	0.010714938	0.06925	79.0	897.1060652732849
18	-76.40493	83.94979	89.867676	-190.92714	272.7857	-37.612255	0.11898973	-34.499744	-37.63064	76000	-1.4781952e-08	5395.4565	-0.008474521	-82.9624	1.1301794	0.007987177	0.1095	79.0	965.7341997623444
19	-71.24813	106.890625	96.87998	-252.41019	403.44446	-38.96225	0.05839327	-36.93021	-38.97377	80000	-1.013279e-09	10164.59	-0.007892765	-146.57031	1.1210493	0.0077269557	0.065	79.0	1037.7040312290192
20	-181.21432	73.14958	-42.075237	-290.3548	383.875	-40.71124	0.17183521	-38.40233	-40.734722	84000	1.013279e-08	9478.992	-0.006667468	-373.87988	1.0287673	0.0074810116	0.1125	79.0	1112.5356423854828
21	-59.226192	123.53799	218.55524	-207.58665	360.45456	-43.510937	0.1994355	-39.87615	-43.536934	88000	9.715557e-09	8811.77	-0.0078633	-9.495117	1.0340998	0.015526567	0.20575	36.0	1170.1293048858643
22	-72.06988	65.11281	20.369434	-189.65953	262.8	-43.82231	2.7605152	4.371503	-44.09882	92000	9.536743e-09	5328.206	-0.0074023507	-215.43164	1.046857	0.008276775	0.1	79.0	1220.999457359314
23	-57.44042	73.41058	77.36111	-240.67122	351.36365	-45.872437	0.017525967	-45.449577	-45.87752	96000	9.536743e-09	4331.6675	-0.010112932	-37.506348	1.0403156	0.0066785044	0.0825	79.0	1275.2479455471039
24	-52.6128	110.8063	164.0821	-165.7037	426.44446	-46.86335	0.096191406	-45.82902	-46.885628	100000	2.6226044e-08	5660.0625	-0.0075614806	-1.9853516	1.0490083	0.009190136	0.13375	79.0	1323.996017217636
25	44.11775	156.92642	274.0389	-126.39413	489.5	-47.03844	0.22823021	-42.13721	-47.06656	104000	-2.1338463e-08	13302.188	-0.0051885704	-230.88867	0.9309952	0.005363583	0.0685	79.0	1381.631091117859
26	-16.92336	103.4225	214.16422	-70.988	502.16666	-44.84362	0.04786082	-44.11677	-44.85748	108000	1.0490417e-08	5655.3057	-0.0065229447	-41.27881	0.97507364	0.0046895547	0.04625	79.0	1459.7813398838043
27	-5.032093	131.15385	239.45859	-115.53316	453.75	-43.64607	0.7075662	-23.70433	-43.730614	112000	1.2814999e-08	8358.315	-0.0059383567	-80.45117	0.9884585	0.009702465	0.0895	79.0	1514.6973102092743
28	-17.892183	154.8786	236.36719	-181.8495	568.4286	-42.1991	2.4823453	28.560478	-42.604927	116000	7.033348e-09	13741.753	-0.00587712	-41.143555	1.004771	0.004996943	0.0805	79.0	1564.4153516292572
29	-7.5825067	161.76016	231.30017	-164.02884	434.44446	-42.274498	0.93688095	6.079225	-42.380596	120000	-8.225441e-09	15759.694	-0.0047923173	-2923.0752	1.001027	0.0053662285	0.08675	79.0	1608.4490008354187
30	-133.96196	29.748697	-74.6937	-182.62778	469.25	-18.145298	21.378973	39.42701	-41.108788	124000	5.2452087e-09	10615.572	-0.010180906	-4484.4526	1.0698085	0.008532769	0.088	79.0	1674.4810531139374
31	-92.823524	126.08275	180.73537	-208.99428	527.0	-41.78275	14.651253	41.42102	-44.870636	128000	-1.5497208e-09	11081.997	-0.012511904	-98.00293	1.0494881	0.012980633	0.103	79.0	1756.316365480423
32	168.82947	35.539005	215.96324	115.72824	623.5	-35.261017	27.281275	43.45136	-46.203068	132000	1.4066696e-08	18658.15	-0.0042698523	-1403.9551	0.9753457	0.0058706272	0.07875	79.0	1838.0798618793488
33	43.758797	148.42706	255.10916	-132.57811	494.0	-31.748243	23.914627	38.797073	-41.113113	136000	1.1324882e-08	12887.886	-0.010283474	-264.6006	0.9723479	0.0020123266	0.067	79.0	1918.29718375206
34	100.2714	129.50122	210.33014	-130.64146	549.0	-23.420403	29.824266	37.522682	-39.711536	140000	-2.4557114e-08	15442.92	-0.006071206	-688.82227	0.9119412	0.005674528	0.0365	79.0	1997.2988061904907
35	233.87364	32.61768	275.9025	176.79604	553.6667	-14.5415125	29.1334	35.271687	-37.247673	144000	2.8610229e-08	19808.775	-0.006495631	-11921.974	0.87790334	0.0062718126	0.04775	79.0	2073.659359693527
36	79.96554	113.353096	212.19412	-57.909466	449.0	36.283325	0.56975186	36.908485	33.75442	148000	-1.2516975e-08	7845.925	-0.009674763	-36.95752	0.96294606	0.015002918	0.144	61.0	2111.743397474289
37	128.42334	105.29153	221.2401	-61.303177	506.0	36.42139	1.1568289	37.194225	-1.2339902	152000	-1.1324882e-09	6070.2026	-0.008351567	-46.6416	0.9162213	0.0028561521	0.06025	79.0	2153.0906007289886
38	171.9109	80.39855	222.67764	-21.696062	511.14285	37.472492	0.8605488	38.198925	31.992418	156000	2.0891427e-08	6943.933	-0.0059302133	-287.70654	0.92193615	0.010198155	0.09	79.0	2196.567278623581
