Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-2607.969	615.12756	1259.1963	-2900.3481	23.927885	0.28990716	0.14040242	1.1273426	-0.22912222	5000	-3.6907196e-08	6067159.0	-0.013085058	-141859.0	1.0584925	0.016123965	0.4034	9.0	808.8070335388184
1	-2263.4697	1048.0916	1920.8779	-2881.573	29.544378	-27.832657	4.86004	-8.402795	-49.781536	10000	-4.301071e-08	5150433.5	-0.024593145	-775601.0	1.0517951	0.021638833	0.3634	11.0	1607.918054819107
2	-1839.3848	1124.8785	2214.776	-2889.1572	36.674072	-223.19017	48.42072	-28.58837	-451.30746	15000	6.3896177e-09	3565116.5	-0.010547224	-1155360.5	1.0202705	0.018050158	0.282	12.0	2384.8341751098633
3	-1205.915	1261.2	1903.1976	-2997.2183	43.761063	-703.7839	160.9229	-70.07422	-1352.5773	20000	3.0517577e-09	2252562.8	-0.013390589	-398301.75	0.9709858	0.009098364	0.1324	79.0	3225.875799894333
4	-605.91675	1321.195	3220.2332	-2806.9849	49.75	-1105.6156	240.2303	-172.57683	-2161.9558	25000	7.820129e-09	2063797.0	-0.012795584	-143507.0	0.9654972	0.016121183	0.1568	30.0	4040.8570261001587
5	-710.6325	1110.2706	2377.4387	-2480.6953	52.4	-1057.3187	249.3077	-294.10538	-2168.7341	30000	-7.6293943e-10	1654037.8	-0.010583348	-94676.5	0.9343874	0.008746271	0.1014	79.0	4793.300220966339
6	-173.43611	1204.0867	2864.1567	-2997.4932	59.13095	-1180.148	315.84015	-369.5113	-2530.4297	35000	-5.340576e-09	1836441.2	-0.009174638	-184777.88	0.9016428	0.012414416	0.0874	79.0	5582.0045075416565
7	382.61288	1746.6213	11179.604	-2408.4324	81.90164	-1081.3142	370.86673	-280.51044	-2667.765	40000	-2.28405e-08	2397575.0	-0.007368207	-452933.0	0.8869497	0.009499113	0.0784	79.0	6372.1116688251495
8	418.09775	981.4276	3489.1086	-2119.6526	71.171425	-623.2189	255.25179	-155.99644	-1872.2041	45000	4.577637e-09	1857220.9	-0.007724664	-202938.0	0.8262582	0.0050032143	0.0658	79.0	7140.571420907974
9	577.74036	1247.3777	3787.9045	-2997.833	72.60294	-792.2773	368.82547	-133.12387	-2573.9756	50000	-1.0490417e-09	2023926.6	-0.009218657	-253644.88	0.8138349	0.008459364	0.073	79.0	7943.918470144272
10	1274.2974	1903.3925	12316.293	-2270.304	98.46	-894.2324	476.8907	-55.860123	-2712.6206	55000	-1.1920929e-08	2444147.0	-0.008215251	-350306.62	0.7788978	0.009717025	0.111	79.0	8732.575896978378
11	1499.666	1956.5673	11618.27	-2173.238	105.17021	-620.0611	449.8709	-12.2064	-2580.7158	60000	1.0490417e-09	2385973.2	-0.009094796	-100455.75	0.77475166	0.008242546	0.0832	79.0	9532.417047977448
12	1512.1406	1519.732	4759.6543	-1964.9779	81.491806	-348.7111	379.63614	-4.2964296	-2084.7605	65000	2.0980835e-08	2571396.8	-0.00846558	-316118.75	0.7013675	0.009403506	0.084	79.0	10323.990030050278
13	1666.8788	1762.5021	11459.858	-2177.5889	90.27273	-670.4944	641.18616	-0.29910558	-3175.055	70000	5.340576e-09	2356695.5	-0.007248564	-161733.5	0.7141938	0.004750762	0.0768	79.0	11139.14912891388
14	1618.93	1196.305	5977.856	-2020.6787	76.16923	-438.37656	584.90155	24.877785	-3325.99	75000	-1.935959e-08	2242582.0	-0.008007935	-412373.88	0.69511276	0.008166037	0.08	79.0	11938.91325378418
15	1657.1888	1416.69	6166.1333	-2224.8276	75.257576	-704.33954	934.78577	67.1935	-3694.7466	80000	-1.039505e-08	1898769.9	-0.0081873	-188276.75	0.661795	0.009406608	0.0864	79.0	12740.422194242477
16	2240.043	1516.1493	8848.057	-2204.2512	75.56061	-624.2337	995.02026	208.24242	-5017.436	85000	7.4386595e-09	2424561.2	-0.009378035	-369092.62	0.63430953	0.003953578	0.0572	79.0	13543.863852500916
17	2148.008	1274.2415	4576.338	-2239.0186	72.36232	-527.6666	1183.4897	523.44556	-4564.567	90000	1.4877319e-08	1851425.1	-0.0068015354	-290383.38	0.62972236	0.0068083648	0.0586	79.0	14345.35238790512
18	2142.4531	1164.3826	4655.0693	-2173.1086	73.83582	-528.1147	1493.9395	893.6653	-5095.2476	95000	4.577637e-09	1783613.5	-0.010154848	-232926.25	0.6508291	0.009326698	0.0714	79.0	15153.592401504517
19	2082.0237	1374.2566	4984.899	-1836.2683	70.51428	-196.76834	1361.9065	1227.8383	-4112.7188	100000	2.4795532e-09	1524679.1	-0.009481083	-186037.25	0.62380385	0.007915388	0.0636	79.0	15955.7612555027
